Unnamed: 0,budget,popularity,runtime,vote_average,cast,Story,year
17,380000000,135.413856,136.0,6.4,Johnny Depp,"Pirates of the Caribbean: On Stranger Tides Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past. sea captain mutiny sword prime minister Adventure Action Fantasy Rob Marshall",2011
18,225000000,52.035179,106.0,6.2,Will Smith,"Men in Black 3 Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind. time travel time machine alien fictional government agency seeing the future Action Comedy Science Fiction Barry Sonnenfeld",2012
19,250000000,120.965743,144.0,7.1,Martin Freeman,"The Hobbit: The Battle of the Five Armies Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands. corruption elves dwarves orcs middle-earth (tolkien) Action Adventure Fantasy Peter Jackson",2014
20,215000000,89.866276,136.0,6.5,Andrew Garfield,"The Amazing Spider-Man Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero. loss of father vigilante serum marvel comic scientific experiment Action Adventure Fantasy Marc Webb",2012
21,200000000,37.668301,140.0,6.2,Russell Crowe,"Robin Hood When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey. robin hood archer knight sherwood forest bow and arrow Action Adventure Ridley Scott",2010
22,250000000,94.370564,161.0,7.6,Martin Freeman,"The Hobbit: The Desolation of Smaug The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug. elves dwarves orcs hobbit dragon Adventure Fantasy Peter Jackson",2013
23,180000000,42.990906,113.0,5.8,Dakota Blue,"The Golden Compass After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny. england compass experiment lordship uncle Adventure Fantasy Chris Weitz",2007
24,207000000,61.22601,187.0,6.6,Naomi Watts,"King Kong In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady. film business screenplay show business film making film producer Adventure Drama Action Peter Jackson",2005
25,200000000,100.025899,194.0,7.5,Kate Winslet,"Titanic 84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning. shipwreck iceberg ship panic titanic Drama Romance Thriller James Cameron",1997
26,250000000,198.372395,147.0,7.1,Chris Evans,"Captain America: Civil War Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies. civil war war marvel comic sequel superhero Adventure Action Science Fiction Anthony Russo",2016
27,209000000,64.928382,131.0,5.5,Taylor Kitsch,"Battleship When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him. fight u.s. navy mind reading hong kong soccer Thriller Action Adventure Science Fiction Peter Berg",2012
28,150000000,418.708552,124.0,6.5,Chris Pratt,"Jurassic World Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond. monster dna tyrannosaurus rex velociraptor island Action Adventure Science Fiction Thriller Colin Trevorrow",2015
29,200000000,93.004993,143.0,6.9,Daniel Craig,"Skyfall When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves. spy secret agent sociopath killer art gallery Action Adventure Thriller Sam Mendes",2012
30,200000000,35.149586,127.0,6.7,Tobey Maguire,"Spider-Man 2 Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood. dual identity love of one's life pizza boy marvel comic sequel Action Adventure Fantasy Sam Raimi",2004
31,200000000,77.68208,130.0,6.8,Robert Downey,"Iron Man 3 When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution. terrorist war on terror tennessee malibu marvel comic Action Adventure Science Fiction Shane Black",2013
32,200000000,78.530105,108.0,6.4,Mia Wasikowska,"Alice in Wonderland Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne. based on novel fictional place queen fantasy alice in wonderland Family Fantasy Adventure Tim Burton",2010
33,210000000,3.857526,104.0,6.3,Hugh Jackman,"X-Men: The Last Stand When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto. mutant marvel comic based on comic book superhuman beast Adventure Action Science Fiction Thriller Brett Ratner",2006
34,200000000,89.186492,104.0,7.0,Billy Crystal,Monsters University A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends. monster dormitory games animation best friend Animation Family Dan Scanlon,2013
35,150000000,21.939663,150.0,6.0,Shia LaBeouf,"Transformers: Revenge of the Fallen Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war. egypt sun chaos symbol artifact Science Fiction Action Adventure Michael Bay",2009
36,210000000,116.840296,165.0,5.8,Mark Wahlberg,"Transformers: Age of Extinction As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs. sequel alien transformers giant robot robot Science Fiction Action Adventure Michael Bay",2014
37,200000000,46.985445,130.0,5.7,James Franco,"Oz: The Great and Powerful Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil. circus witch magic hope illusion Fantasy Adventure Family Sam Raimi",2013
38,200000000,89.270217,142.0,6.5,Andrew Garfield,"The Amazing Spider-Man 2 For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past. obsession marvel comic sequel based on comic book electrocution Action Adventure Fantasy Marc Webb",2014
39,170000000,73.79505,125.0,6.3,Garrett Hedlund,"TRON: Legacy Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world. artificial intelligence secret identity computer program dystopia computer Adventure Action Science Fiction Joseph Kosinski",2010
40,200000000,49.98659,106.0,5.8,Owen Wilson,Cars 2 Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage. car race sequel comedy anthropomorphism best friend Animation Family Adventure Comedy John Lasseter,2011
41,200000000,51.872839,114.0,5.1,Ryan Reynolds,"Green Lantern For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited. dc comics transformation superhero alien alien infection Adventure Action Thriller Science Fiction Martin Campbell",2011
42,200000000,59.99541800000001,103.0,7.6,Tom Hanks,"Toy Story 3 Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy. hostage college toy barbie animation Animation Family Comedy Lee Unkrich",2010
43,200000000,71.862892,115.0,5.9,Christian Bale,"Terminator Salvation All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe. saving the world artificial intelligence prophecy san francisco cyborg Action Science Fiction Thriller McG",2009
44,190000000,102.322217,137.0,7.3,Vin Diesel,Furious 7 Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother. car race speed revenge suspense car Action James Wan,2015
45,200000000,81.834855,116.0,6.7,Brad Pitt,"World War Z Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls. dystopia apocalypse zombie nuclear weapons multiple perspectives Action Drama Horror Science Fiction Thriller Marc Forster",2013
46,250000000,118.078691,131.0,7.5,Hugh Jackman,X-Men: Days of Future Past The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future. 1970s mutant time travel marvel comic based on comic book Action Adventure Fantasy Science Fiction Bryan Singer,2014
47,190000000,78.29101800000002,132.0,7.4,Chris Pine,"Star Trek Into Darkness When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew. spacecraft friendship sequel futuristic space Action Adventure Science Fiction J.J. Abrams",2013
48,195000000,43.349855,114.0,5.5,Nicholas Hoult,"Jack the Giant Slayer The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself. based on fairy tale giant Action Family Fantasy Bryan Singer",2013
49,105000000,61.196071,143.0,7.3,Leonardo DiCaprio,"The Great Gatsby An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await. based on novel infidelity obsession hope 3d Drama Romance Baz Luhrmann",2013
50,150000000,62.169881,116.0,6.2,Jake Gyllenhaal,"Prince of Persia: The Sands of Time A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world. persia sandstorm brother against brother armageddon regent Adventure Fantasy Action Romance Mike Newell",2010
51,180000000,56.523205,131.0,6.7,Idris Elba,"Pacific Rim When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse. dystopia giant robot giant monster apocalypse imax Action Science Fiction Adventure Guillermo del Toro",2013
52,195000000,28.529607,154.0,6.1,Shia LaBeouf,"Transformers: Dark of the Moon Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets. moon spacecraft traitor bodyguard alien planet Action Science Fiction Adventure Michael Bay",2011
53,185000000,75.674458,122.0,5.7,Harrison Ford,"Indiana Jones and the Kingdom of the Crystal Skull Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts. saving the world riddle whip treasure mexico city Adventure Action Steven Spielberg",2008
54,175000000,51.692953,93.0,6.6,Raymond Ochoa,The Good Dinosaur An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend. tyrannosaurus rex friends alternate history dinosaur fear Adventure Animation Family Peter Sohn,2015
55,185000000,125.114374,93.0,6.7,Kelly Macdonald,"Brave Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall. scotland rebel bravery kingdom archer Animation Adventure Comedy Family Action Brenda Chapman",2012
56,185000000,65.352913,122.0,6.6,Chris Pine,"Star Trek Beyond The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test. sequel stranded hatred space opera Action Adventure Science Fiction Justin Lin",2016
57,180000000,66.390712,98.0,7.8,Ben Burtt,"WALL·E WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves. romantic comedy Animation Family Andrew Stanton",2008
58,140000000,22.57178,91.0,6.1,Chris Tucker,"Rush Hour 3 After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother. ambassador Action Comedy Crime Thriller Brett Ratner",2007
59,200000000,45.274225,158.0,5.6,John Cusack,"2012 Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world. civilization natural disaster end of the world disaster apocalypse Action Adventure Science Fiction Roland Emmerich",2009
60,200000000,39.744242,96.0,6.6,Gary Oldman,"A Christmas Carol Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption. holiday based on novel victorian england money christmas eve Animation Drama Robert Zemeckis",2009
61,176000003,85.36908000000003,124.0,5.2,Mila Kunis,"Jupiter Ascending In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty… jupiter space woman director 3d interspecies romance Science Fiction Fantasy Action Adventure Lilly Wachowski",2015
62,180000000,42.741719,109.0,5.5,Alexander Skarsg\u00e5rd,"The Legend of Tarzan Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment. africa feral child tarzan jungle animal attack Action Adventure David Yates",2016
63,180000000,67.391328,143.0,6.7,William Moseley,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever. saving the world witch based on novel brother sister relationship self sacrifice Adventure Family Fantasy Andrew Adamson",2005
64,178000000,139.272042,144.0,6.4,James McAvoy,"X-Men: Apocalypse After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan. mutant supernatural powers marvel comic superhero based on comic book Science Fiction Bryan Singer",2016
65,185000000,187.322927,152.0,8.2,Christian Bale,"The Dark Knight Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker. dc comics crime fighter secret identity scarecrow sadism Drama Action Crime Thriller Christopher Nolan",2008
66,175000000,92.201962,96.0,7.7,Ed Asner,"Up Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life. age difference central and south america balloon animation floating in the air Animation Comedy Family Adventure Pete Docter",2009
67,175000000,36.167578000000006,94.0,6.0,Seth Rogen,"Monsters vs Aliens When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters... alien giant robot duringcreditsstinger Animation Family Adventure Science Fiction Conrad Vernon",2009
68,140000000,120.725053,126.0,7.4,Robert Downey,"Iron Man After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil. middle east arms dealer malibu marvel comic superhero Action Science Fiction Adventure Jon Favreau",2008
69,170000000,32.319043,126.0,7.0,Ben Kingsley,"Hugo Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past. library clock film director key toy Adventure Drama Family Martin Scorsese",2011
70,170000000,40.748915,106.0,5.1,Will Smith,Wild Wild West Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans. steampunk based on tv series steam locomotive drag Action Adventure Comedy Science Fiction Western Barry Sonnenfeld,1999
